frame,date,site,crow_all,crow_feed,proportion,Sample_Point,food_amount,distance
17,20210219,Food101,4,0,0,101,18,40
18,20210219,Food101,6,0,0,101,18,40
19,20210219,Food101,0,0,NA,101,18,40
20,20210219,Food101,0,0,NA,101,18,40
21,20210219,Food101,3,0,0,101,18,40
22,20210219,Food101,3,1,0.3333333333333333,101,18,40
23,20210219,Food101,4,1,0.25,101,18,40
24,20210219,Food101,7,2,0.2857142857142857,101,18,40
25,20210219,Food101,5,1,0.2,101,18,40
26,20210219,Food101,6,1,0.16666666666666666,101,18,40
27,20210219,Food101,8,0,0,101,18,40
28,20210219,Food101,4,1,0.25,101,18,40
29,20210219,Food101,2,0,0,101,18,40
30,20210219,Food101,4,0,0,101,18,40
31,20210219,Food101,4,0,0,101,18,40
32,20210219,Food101,0,0,NA,101,18,40
33,20210219,Food101,0,0,NA,101,18,40
34,20210219,Food101,0,0,NA,101,18,40
35,20210219,Food101,0,0,NA,101,18,40
36,20210219,Food101,0,0,NA,101,18,40
37,20210219,Food101,0,0,NA,101,18,40
38,20210219,Food101,0,0,NA,101,18,40
39,20210219,Food101,0,0,NA,101,18,40
40,20210219,Food101,0,0,NA,101,18,40
1,20210219,Food102,0,0,NA,102,36,80
2,20210219,Food102,0,0,NA,102,36,80
3,20210219,Food102,0,0,NA,102,36,80
4,20210219,Food102,0,0,NA,102,36,80
5,20210219,Food102,0,0,NA,102,36,80
6,20210219,Food102,0,0,NA,102,36,80
7,20210219,Food102,0,0,NA,102,36,80
8,20210219,Food102,0,0,NA,102,36,80
9,20210219,Food102,0,0,NA,102,36,80
10,20210219,Food102,0,0,NA,102,36,80
11,20210219,Food102,0,0,NA,102,36,80
12,20210219,Food102,0,0,NA,102,36,80
13,20210219,Food102,0,0,NA,102,36,80
14,20210219,Food102,0,0,NA,102,36,80
15,20210219,Food102,0,0,NA,102,36,80
16,20210219,Food102,0,0,NA,102,36,80
17,20210219,Food102,0,0,NA,102,36,80
18,20210219,Food102,0,0,NA,102,36,80
19,20210219,Food102,0,0,NA,102,36,80
20,20210219,Food102,3,0,0,102,36,80
21,20210219,Food102,18,6,0.3333333333333333,102,36,80
22,20210219,Food102,20,8,0.4,102,36,80
23,20210219,Food102,23,6,0.2608695652173913,102,36,80
24,20210219,Food102,19,7,0.3684210526315789,102,36,80
25,20210219,Food102,12,4,0.3333333333333333,102,36,80
26,20210219,Food102,13,7,0.5384615384615384,102,36,80
27,20210219,Food102,12,2,0.16666666666666666,102,36,80
28,20210219,Food102,8,5,0.625,102,36,80
29,20210219,Food102,7,4,0.5714285714285714,102,36,80
30,20210219,Food102,14,5,0.35714285714285715,102,36,80
31,20210219,Food102,16,8,0.5,102,36,80
32,20210219,Food102,14,9,0.6428571428571429,102,36,80
33,20210219,Food102,12,1,0.08333333333333333,102,36,80
34,20210219,Food102,7,1,0.14285714285714285,102,36,80
35,20210219,Food102,3,1,0.3333333333333333,102,36,80
36,20210219,Food102,9,2,0.2222222222222222,102,36,80
37,20210219,Food102,7,4,0.5714285714285714,102,36,80
38,20210219,Food102,6,4,0.6666666666666666,102,36,80
39,20210219,Food102,7,2,0.2857142857142857,102,36,80
