frame,date,site,crow_all,crow_feed,proportion
23,20210213,Food104,0,0,NA
24,20210213,Food104,24,11,0.4583333333333333
25,20210213,Food104,16,6,0.375
26,20210213,Food104,15,9,0.6
27,20210213,Food104,0,0,NA
28,20210213,Food104,14,7,0.5
29,20210213,Food104,15,4,0.26666666666666666
30,20210213,Food104,10,6,0.6
31,20210213,Food104,7,4,0.5714285714285714
32,20210213,Food104,9,3,0.3333333333333333
33,20210213,Food104,10,4,0.4
34,20210213,Food104,6,3,0.5
35,20210213,Food104,3,3,1
36,20210213,Food104,6,3,0.5
37,20210213,Food104,2,1,0.5
38,20210213,Food104,4,1,0.25
39,20210213,Food104,2,1,0.5
40,20210213,Food104,0,0,NA
1,20210213,Food106,22,4,0.18181818181818182
2,20210213,Food106,0,0,NA
3,20210213,Food106,25,8,0.32
4,20210213,Food106,30,9,0.3
5,20210213,Food106,32,8,0.25
6,20210213,Food106,27,6,0.2222222222222222
7,20210213,Food106,26,5,0.19230769230769232
8,20210213,Food106,28,6,0.21428571428571427
9,20210213,Food106,32,7,0.21875
10,20210213,Food106,34,6,0.17647058823529413
11,20210213,Food106,26,8,0.3076923076923077
12,20210213,Food106,28,5,0.17857142857142858
13,20210213,Food106,32,5,0.15625
14,20210213,Food106,0,0,NA
15,20210213,Food106,13,3,0.23076923076923078
16,20210213,Food106,20,5,0.25
17,20210213,Food106,18,6,0.3333333333333333
18,20210213,Food106,20,0,0
19,20210213,Food106,16,6,0.375
20,20210213,Food106,16,6,0.375
21,20210213,Food106,13,8,0.6153846153846154
22,20210213,Food106,12,5,0.4166666666666667
23,20210213,Food106,14,9,0.6428571428571429
24,20210213,Food106,6,4,0.6666666666666666
25,20210213,Food106,7,4,0.5714285714285714
26,20210213,Food106,10,4,0.4
27,20210213,Food106,10,4,0.4
28,20210213,Food106,11,5,0.45454545454545453
29,20210213,Food106,4,1,0.25
30,20210213,Food106,4,2,0.5
31,20210213,Food106,5,1,0.2
32,20210213,Food106,0,0,NA
33,20210213,Food106,5,1,0.2
34,20210213,Food106,3,0,0
35,20210213,Food106,0,0,NA
36,20210213,Food106,0,0,NA
37,20210213,Food106,0,0,NA
38,20210213,Food106,0,0,NA
39,20210213,Food106,0,0,NA
40,20210213,Food106,0,0,NA
1,20210218,Food101,0,0,NA
2,20210218,Food101,0,0,NA
3,20210218,Food101,0,0,NA
4,20210218,Food101,0,0,NA
5,20210218,Food101,0,0,NA
6,20210218,Food101,0,0,NA
7,20210218,Food101,0,0,NA
8,20210218,Food101,0,0,NA
9,20210218,Food101,0,0,NA
10,20210218,Food101,0,0,NA
11,20210218,Food101,0,0,NA
12,20210218,Food101,0,0,NA
13,20210218,Food101,0,0,NA
14,20210218,Food101,0,0,NA
15,20210218,Food101,0,0,NA
16,20210218,Food101,0,0,NA
17,20210218,Food101,0,0,NA
18,20210218,Food101,0,0,NA
19,20210218,Food101,0,0,NA
20,20210218,Food101,0,0,NA
21,20210218,Food101,0,0,NA
22,20210218,Food101,0,0,NA
23,20210218,Food101,0,0,NA
24,20210218,Food101,0,0,NA
25,20210218,Food101,0,0,NA
26,20210218,Food101,0,0,NA
27,20210218,Food101,0,0,NA
28,20210218,Food101,0,0,NA
29,20210218,Food101,0,0,NA
30,20210218,Food101,0,0,NA
31,20210218,Food101,0,0,NA
32,20210218,Food101,0,0,NA
33,20210218,Food101,0,0,NA
34,20210218,Food101,0,0,NA
35,20210218,Food101,0,0,NA
36,20210218,Food101,0,0,NA
37,20210218,Food101,0,0,NA
38,20210218,Food101,0,0,NA
39,20210218,Food101,0,0,NA
40,20210218,Food101,0,0,NA
1,20210218,Food102,0,0,NA
2,20210218,Food102,0,0,NA
3,20210218,Food102,0,0,NA
4,20210218,Food102,0,0,NA
5,20210218,Food102,0,0,NA
6,20210218,Food102,0,0,NA
7,20210218,Food102,0,0,NA
8,20210218,Food102,0,0,NA
9,20210218,Food102,0,0,NA
10,20210218,Food102,0,0,NA
11,20210218,Food102,0,0,NA
12,20210218,Food102,0,0,NA
13,20210218,Food102,0,0,NA
14,20210218,Food102,0,0,NA
15,20210218,Food102,0,0,NA
16,20210218,Food102,0,0,NA
17,20210218,Food102,1,1,1
18,20210218,Food102,1,1,1
19,20210218,Food102,0,0,NA
20,20210218,Food102,1,1,1
21,20210218,Food102,1,1,1
22,20210218,Food102,0,0,NA
23,20210218,Food102,1,1,1
24,20210218,Food102,0,0,NA
25,20210218,Food102,0,0,NA
26,20210218,Food102,0,0,NA
27,20210218,Food102,0,0,NA
28,20210218,Food102,0,0,NA
29,20210218,Food102,0,0,NA
30,20210218,Food102,0,0,NA
31,20210218,Food102,0,0,NA
32,20210218,Food102,0,0,NA
33,20210218,Food102,0,0,NA
34,20210218,Food102,0,0,NA
35,20210218,Food102,0,0,NA
36,20210218,Food102,0,0,NA
37,20210218,Food102,1,0,0
38,20210218,Food102,1,1,1
39,20210218,Food102,2,2,1
40,20210218,Food102,2,2,1
1,20210218,Food104,0,0,NA
2,20210218,Food104,0,0,NA
3,20210218,Food104,0,0,NA
4,20210218,Food104,2,0,0
5,20210218,Food104,2,0,0
6,20210218,Food104,3,0,0
7,20210218,Food104,6,1,0.16666666666666666
8,20210218,Food104,9,2,0.2222222222222222
9,20210218,Food104,11,1,0.09090909090909091
10,20210218,Food104,16,3,0.1875
11,20210218,Food104,17,4,0.23529411764705882
12,20210218,Food104,12,3,0.25
13,20210218,Food104,16,3,0.1875
14,20210218,Food104,11,2,0.18181818181818182
15,20210218,Food104,15,4,0.26666666666666666
16,20210218,Food104,15,3,0.2
17,20210218,Food104,21,4,0.19047619047619047
18,20210218,Food104,17,5,0.29411764705882354
19,20210218,Food104,18,4,0.2222222222222222
20,20210218,Food104,16,4,0.25
21,20210218,Food104,13,4,0.3076923076923077
22,20210218,Food104,12,6,0.5
23,20210218,Food104,11,3,0.2727272727272727
24,20210218,Food104,10,2,0.2
25,20210218,Food104,0,0,NA
26,20210218,Food104,14,4,0.2857142857142857
27,20210218,Food104,14,4,0.2857142857142857
28,20210218,Food104,10,6,0.6
29,20210218,Food104,10,7,0.7
30,20210218,Food104,11,5,0.45454545454545453
31,20210218,Food104,11,6,0.5454545454545454
32,20210218,Food104,16,7,0.4375
33,20210218,Food104,18,6,0.3333333333333333
34,20210218,Food104,12,2,0.16666666666666666
35,20210218,Food104,12,5,0.4166666666666667
36,20210218,Food104,13,5,0.38461538461538464
37,20210218,Food104,11,4,0.36363636363636365
